text,label
Februar,month
März,month
April,month
Mai,month
Juni,month
Juli,month
August,month
September,month
Oktober,month
November,month
Dezember,month
Ene,month
Feb,month
Mar,month
Abr,month
May,month
Jun,month
Jul,month
Ago,month
Sep,month
Oct,month
Nov,month
Dic,month
Enero,month
Febrero,month
Marzo,month
Abril,month
Mayo,month
Junio,month
Julio,month
Agosto,month
Septiembre,month
Octubre,month
Noviembre,month
Diciembre,month
Gen,month
Feb,month
Mar,month
Apr,month
Mag,month
Giu,month
Lug,month
Ago,month
Set,month
Ott,month
Nov,month
Dic,month
Gennaio,month
Febbraio,month
Marzo,month
Aprile,month
Maggio,month
Giugno,month
Luglio,month
Agosto,month
Settembre,month
Ottobre,month
Novembre,month
Dicembre,month
Sty,month
Lut,month
Mar,month
Kwi,month
Maj,month
Cze,month
Lip,month
Sie,month
Wrz,month
Paź,month
Lis,month
Gru,month
Styczeń,month
Luty,month
Marzec,month
Kwiecień,month
Maj,month
Czerwiec,month
Lipiec,month
Sierpień,month
Wrzesień,month
Październik,month
Listopad,month
Grudzień,month
Янв,month
Фев,month
Мар,month
Апр,month
Май,month
Июн,month
Июл,month
Авг,month
Сен,month
Окт,month
Ноя,month
Дек,month
Январь,month
Февраль,month
Март,month
Апрель,month
Май,month
Июнь,month
Июль,month
Август,month
Сентябрь,month
Октябрь,month
Ноябрь,month
Декабрь,month
opening_hours,opening_hours
Opening Hours,opening_hours
Montag.VonBis,opening_hours
Dienstag.VonBis,opening_hours
Mittwoch.VonBis,opening_hours
Donnerstag.VonBis,opening_hours
Donnerstag.VonBis,opening_hours
Samstag.VonBis,opening_hours
Sonntag.VonBis,opening_hours
HORARIO,opening_hours
timings,opening_hours
operation_hours,opening_hours
Monday,opening_hours
Tuesday,opening_hours
Wednesday,opening_hours
Thursday,opening_hours
Friday,opening_hours
Saturday,opening_hours
Sunday,opening_hours
Mo,opening_hours
Tu,opening_hours
We,opening_hours
Th,opening_hours
Fr,opening_hours
Sa,opening_hours
Su,opening_hours
days,opening_hours
hours,opening_hours
opening_hours,opening_hours
StoreBusinessHours,opening_hours
montag,opening_hours
dienstag,opening_hours
mittwoch,opening_hours
donnerstag,opening_hours
freitag,opening_hours
samstag,opening_hours
sonntag,opening_hours
gesloten,opening_hours
openingtimes,opening_hours
openTimeFormat,opening_hours
work,opening_hours
work_time,opening_hours
work_hours,opening_hours
working_hours,opening_hours
workingHours,opening_hours
Work_hour,opening_hours
Working_time,opening_hours
Hours_of_work,opening_hours
Workday_hours,opening_hours
Work_schedule,opening_hours
Working_hours,opening_hours
Business_hours,opening_hours
Operational_hours,opening_hours
Work_period,opening_hours
Business_time,opening_hours
Business_work,opening_hours
Time_of_operation,opening_hours
Time_of_work,opening_hours
closeTimeFormat,opening_hours
startDay,opening_hours
maandag,opening_hours
dinsdag,opening_hours
woensdag,opening_hours
donderdag,opening_hours
vrijdag,opening_hours
zaterdag,opening_hours
zondag,opening_hours
gesloten,opening_hours
openingtimes,opening_hours
time,opening_hours
work_time,opening_hours
open_time,opening_hours
weekdays,opening_hours
start,opening_hours
end,opening_hours
minute,opening_hours
hour,opening_hours
holidays,opening_hours
PH,opening_hours
storeHours,opening_hours
open_hours,opening_hours
sundayOpening,opening_hours
sundayClosing,opening_hours
mondayOpening,opening_hours
mondayClosing,opening_hours
tuesdayOpening,opening_hours
tuesdayOpening,opening_hours
open,opening_hours
close,opening_hours
wednesdayOpening,opening_hours
wednesdayOpening,opening_hours
thursdayOpening,opening_hours
thursdayOpening,opening_hours
fridayOpening,opening_hours
fridayClosing,opening_hours
saturdayOpening,opening_hours
saturdayClosing,opening_hours
hours1,opening_hours
HoursDescription,opening_hours
horarioAberturaDomingo,opening_hours
horarioFechamentoDomingo,opening_hours
horarioAberturaSabado,opening_hours
horarioFechamentoSabado,opening_hours
horarioAberturaSegsex,opening_hours
horarioFechamentoSegsex,opening_hours
horarioAberturaSegsex,opening_hours
mon_hours,opening_hours
tue_hours,opening_hours
wed_hours,opening_hours
thu_hours,opening_hours
fri_hours,opening_hours
sat_hours,opening_hours
sun_hours,opening_hours
Lundi,opening_hours
Mardi,opening_hours
Mercredi,opening_hours
Jeudi,opening_hours
Vendredi,opening_hours
Samedi,opening_hours
Dimanche,opening_hours
Lu,opening_hours
Ma,opening_hours
Me,opening_hours
Je,opening_hours
Ve,opening_hours
Sa,opening_hours
Di,opening_hours
Phone,phone
contacts,phone
Phone,phone
Telefon,phone
phone,phone
phoneNumber,phone
TELEFONO,phone
telefone,phone
number,phone
telephone,phone
Front_Phone,phone
contact,phone
bk-phone,phone
Mob,phone
mob,phone
Mobi,phone
mobile,phone
Whatsapp,phone
shopPhone,phone
telefoneDois,phone
whatsapp,phone
telefoneUm,phone
tel,phone
lat,lat
latitude,lat
Latitude,lat
GEO.Y,lat
LATITUDE,lat
LATITUDE,lat
Lat,lat
formdata[lat],lat
lon,lon
longitude,lon
Longitude,lon
coordinates,location
features,location
feature,location
FeatureCollection,location
place,location
places,location
stores,location
store,location
shops,location
shop,location
point,location
marker,location
markers,location
mapMarker,location
map_point,location
map,location
data-coordinates,location
GEO.X,lon
x,lon
y,lat
LONGITUDE,lon
LONGITUDE,lon
Lng,lon
formdata[lng],lon
location,location
LocationInfo,location
geom,location
geometry,location
coord,location
geo,location
apple,unknown
cat,unknown
chair,unknown
book,unknown
table,unknown
dog,unknown
computer,unknown
car,unknown
tree,unknown
pen,unknown
water,unknown
sun,unknown
bag,unknown
ball,unknown
shoe,unknown
chair,unknown
cup,unknown
door,unknown
clock,opening_hours
bed,unknown
bike,unknown
lamp,unknown
shirt,unknown
hat,unknown
flower,unknown
window,unknown
key,unknown
watch,unknown
egg,unknown
spoon,unknown
fork,unknown
knife,unknown
plate,unknown
soap,unknown
towel,unknown
mirror,unknown
toothbrush,unknown
toothpaste,unknown
comb,unknown
hair,unknown
milk,unknown
cheese,unknown
bread,unknown
juice,unknown
orange,unknown
banana,unknown
tomato,unknown
potato,unknown
chair,unknown
bird,unknown
desk,unknown
paper,unknown
spoon,unknown
moon,unknown
lamp,unknown
cloud,unknown
fish,unknown
river,unknown
rock,unknown
book,unknown
chair,unknown
watch,unknown
car,unknown
tree,unknown
key,unknown
hat,unknown
door,unknown
shirt,unknown
pen,unknown
shoe,unknown
bag,unknown
ball,unknown
bed,unknown
towel,unknown
mirror,unknown
soap,unknown
cup,unknown
fork,unknown
knife,unknown
plate,unknown
window,unknown
egg,unknown
bike,unknown
chair,unknown
water,unknown
juice,unknown
orange,unknown
banana,unknown
milk,unknown
cheese,unknown
bread,unknown
tomato,unknown
potato,unknown
flower,unknown
sun,unknown
Apple,unknown
Bicycle,unknown
Elephant,unknown
Sunshine,unknown
Mountain,unknown
Laptop,unknown
Ocean,unknown
Guitar,unknown
Rainbow,unknown
Adventure,unknown
Pomme,unknown
Vélo,unknown
Éléphant,unknown
Soleil,unknown
Montagne,unknown
Ordinateur_portable,unknown
Océan,unknown
Guitare,unknown
Arc-en-ciel,unknown
Aventure,unknown
